Network,Address,Name,Solidity Version,Txcount,Create Date
mainnet,0x36a7350309b2eb30f3b908ab0154851b5ed81db0,MapleLoanFactory,0.8.7,155,1/13/2022
mainnet,0xb93bdd86df8abe5ead66820ac790a1f7a7fe399f,YieldSourcePrizePoolProxyFactory,0.6.12,1,7/28/2021
mainnet,0xb57df14adecf6ffffb6c5e28338f6f914d25432d,TicketProxyFactory,0.6.12,1,7/28/2021
mainnet,0xe9c0d0997b84cce48b6a0c10fc5933305318b35b,StakePrizePoolProxyFactory,0.6.12,1,7/28/2021
mainnet,0x5d9d06d49e7f7e3c71720cab83aaf0dbaf7ba3bb,MultipleWinnersProxyFactory,0.6.12,1,7/28/2021
mainnet,0x9e053a13de188a0f38e95392e90b763e69d0a937,ControlledTokenProxyFactory,0.6.12,1,7/28/2021
mainnet,0xa63e145309cadaa6a903a19993868ef7e85058be,VoteProxyFactory,v0.4.24,879,9/12/2018
mainnet,0xf034d6a4b1a64f0e6038632d87746ca24b79d325,PaymentSplitterFactory,0.8.11,18,1/13/2022
mainnet,0xe0f561a9c77c04092593ff88370d703f239b4f7f,FlairFactory,0.8.9,12,7/01/2022
mainnet,0x05d26410b401ebffa48c7eb2fe43bf9e20e35fd1,VoteProxyFactory,v0.4.24,17,9/11/2018
mainnet,0x08d610fa9a674bc8a5824411cb5d3f529ca5516e,BinaryOptionMarketFactory,0.5.16,5,7/28/2021
mainnet,0x7c9f1cd86b3396614c48b5ccd775cc3f01e82bde,AzukiUpgradeableFactory,0.8.7,36,5/11/2022
mainnet,0x64cc4dae4972ce88d6d9722c25c67f8f85acda6d,TenderFarmFactory,0.8.4,1,5/10/2022
mainnet,0x5cfbee38362b9a60be276763753f64245ea990f7,TWABDelegator,0.8.6,3,3/19/2022
mainnet,0xee15e6c4c6dacba162e6bd8c6c7185049beba212,ERC4626Factory,0.8.15,4,12/16/2022
mainnet,0xf2c5e9d1f82f073d3a1d5a884c338da79e1d6e15,OilerOptionDifficultyFactory,0.7.5,1,7/29/2021
mainnet,0x37df3fc47c1c3a2acafd2dad9c1c00090a8655bc,EIP4824RegistrationSummoner,0.8.13,1,12/01/2022
mainnet,0xd58c83138dbe87c861bffbdb3839cbfeaca2d864,FiatTokenFactory,0.5.3,3,12/15/2022
mainnet,0x96935981cc7bd24d75407c865d2aa3fabaf6d57d,StakefishServicesContractFactory,0.8.4,194,1/15/2022
mainnet,0x3b3692a5e1e82fa02d38d0a5f6ebb0070d84eb70,UpgradeableBeaconFactory,0.8.3,1,5/15/2021
mainnet,0x56108645c4557e672391339776728cc53a28823a,PairFactory,0.8.1,5,5/15/2021
mainnet,0x74bd1d07a158e8a9eecfbd2267766f5919e2b21c,RegistryFactory,v0.4.24,1,9/07/2018
mainnet,0xe1dc4a07895185f0f0a1863ed1292155ef8b9805,NFTCloner,0.8.7,7,1/16/2022
mainnet,0x070935ce46f5e3ca5dd9e4c5957c35585535a0fb,SellableAllowlistSpotFactory,0.8.9,3,3/20/2022
mainnet,0x3ed04ceff4c91872f19b1da35740c0be9ca21558,ExchangerWithFeeRecAlternatives,0.5.16,5,8/17/2022
mainnet,0x0a1dc67ff497cb3cab218aa87e3a2263360181ce,Vapour721AFactory,0.8.10,5,9/28/2022
mainnet,0xf60aeb64a4510e62b64f8965db0ff3ac4b2ba801,NFTFactory,0.8.17,4,9/28/2022
mainnet,0x1cbe25531de1c75ac382edcbde0249be146b745a,OriginERC721_v3Factory,0.8.4,100,10/29/2021
mainnet,0xd875e7e690dcb00997b0247022f87dedb40176e4,FeeDistributorFactory,0.8.10,28,1/24/2023
mainnet,0x1c47e857e674006f5e3f0b6ca4f71d153c54c3ee,Governor,0.8.13,16,12/16/2022
mainnet,0x40243e3eb26d4c1829a8ff8d7b86ce8d9f193a26,BABYTOKEN,0.7.6,1,8/01/2021
mainnet,0x56fb5385ae87d5d1eda8e66956e3fd94364c45a5,AzukiUpgradeableFactory,0.8.7,18,5/13/2022
mainnet,0xeaacaaacd693f1fef309368560d537208c31d784,WalletProxyFactory,0.8.9,2,1/17/2022
mainnet,0x2f2c0261f204f3c26c83063d9526503500f96b2d,CreepzAggregator,0.8.7,13,3/20/2022
mainnet,0x032ccb98a0fadb150525631c587c1216d2535136,EPSRegister,0.8.17,105,9/28/2022
mainnet,0x961f800c9bae10ee0878acaec96d33eb239a7c08,P2PDividendsFactory,0.8.17,2,12/16/2022
mainnet,0xa8e03d0e75fa9a0bba097266fc8e14284118e0ef,UpgradeableBeaconFactory,0.8.3,4,5/15/2021
mainnet,0x63aaf1794b789aee4aae3d4eae5f7ea271bffe7b,DelegateManager,0.8.16,2,3/07/2023
mainnet,0x63fc1cd83538f1510425e312ae9368bbab939177,AccountWhitelistFactory,0.8.16,10,3/07/2023
mainnet,0xfcc00e160615f9a609465e557d23a2c139472732,WhopPaymentGatewayManager,0.8.13,728,8/19/2022
mainnet,0x0282a224ef6f1b9056c778a00f06a8fcb5366856,WalletFactory,0.8.6,106,8/19/2022
mainnet,0x60d4a8f3947bfc3a836a2b311e9a4c8325f985f5,FraxProxyFactory,0.8.7,1,8/19/2022
mainnet,0x4568727f50c7246ded8c39214ed6ff3c157f080d,MetaSwap,0.6.12,6,5/14/2022
mainnet,0x424661dd9505f77abe0df5f01823af086f5729d0,UpgradeabilityProxyFactory,v0.4.24,1,8/30/2018
mainnet,0x00000000c2f8cb9a79739832b90d9718219833de,ERC721SeaDropCloneFactory,0.8.17,0,3/09/2023
mainnet,0x6fd3463a974ad719d27096d12a1cf98706b40813,LunaPrinter,0.8.4,3,5/15/2022
mainnet,0x55d84299750031d56ca71ee604caa1e973e76d4c,Tokenization,0.8.3,10,9/02/2022
mainnet,0x3b612a5b49e025a6e4ba4ee4fb1ef46d13588059,FNDCollectionFactory,0.8.9,48045,11/01/2021
mainnet,0x5fe53a6ac5c36490687c76beb9d4d3073f60bc57,YieldSourcePrizePoolProxyFactory,0.6.12,1,8/05/2021
mainnet,0x470383093b0656184c19afe089092fc83e0866fc,TicketProxyFactory,0.6.12,1,8/05/2021
mainnet,0x24cacea2a37100cca2163f006bd1cf6fa5f85ccf,MultipleWinnersProxyFactory,0.6.12,1,8/05/2021
mainnet,0x3afa66fa503ef8d226c59a3e15bd1dbc103167b7,ControlledTokenProxyFactory,0.6.12,1,8/05/2021
mainnet,0xd534bb9fba20152abcb20fcb2d96b00392971b5c,OpFactory,0.8.17,11,1/25/2023
mainnet,0x7d4a76af4b2d765d1d62ac87cc2aea0b7ecf6102,InstanceFactoryWithRegistry,0.7.6,0,7/06/2022
mainnet,0x56a59f2346e1902c2ef9111094875f23ac25137c,OpFactory,0.8.17,11,1/25/2023
mainnet,0xac65f96f0a0cf1a8c0370c9c07171e258d9ead5e,AccountFactory,0.8.17,1,11/07/2022
mainnet,0x3aa4a0482e6f475856d98c12e71b658d0c1d0b68,WhitelistedTokenProxyFactory,v0.4.24,2,9/29/2018
mainnet,0x4a5693fa90442aff3067b59a4256834fe612b541,CarbonDollarProxyFactory,v0.4.24,2,9/29/2018
mainnet,0xf363c6de4a27c202fd8e3216351c242fb4a39d8c,RegulatorProxyFactory,v0.4.24,3,9/29/2018
mainnet,0x15a404d21e9880fdbc876bc2dfada8394e766cb8,DevReceiverFactory,0.7.6,2,5/20/2021
