Network,Address,Name,Solidity Version,Txcount,Create Date
sepolia,0x4bf57b196922b2decdd4745355e955bae682e8b9,ImmutableSplitsDriverModule,0.8.19,0,6/12/2023
sepolia,0x434e273e93bdb74646455167a3bc674575f6cbd6,NFTDriverModule,0.8.19,0,6/12/2023
sepolia,0xc49cc3007e4b75f1f80a215c238f6133d53d4064,AddressDriverModule,0.8.19,0,6/12/2023
sepolia,0xdaa71267bbb5f93f710662f7c1a9a0bab882ff32,CallerModule,0.8.19,0,6/12/2023
sepolia,0x2badc8a9bcda8911de54604e664a9c790d53ab94,DripsModule,0.8.19,0,6/12/2023
sepolia,0x7dcdf2f8e7c836fc1cc4164d397188e5e677fd20,DripsDeployer,0.8.19,1,6/12/2023
sepolia,0x6c20e60da8575c8cf5fe35b468bbf1634d92dad9,RepoDriverModule,0.8.19,0,6/12/2023
sepolia,0x51ac6df23f33d92cf52f344a28708411d0db3e37,ImmutableSplitsDriverModule,0.8.19,0,6/12/2023
sepolia,0x45291bdb85d0a9b3bb540f5593307537ba614be5,NFTDriverModule,0.8.19,0,6/12/2023
sepolia,0x5ae9bdfd759cd8ca64ad9ff2d97768bc47c62a2c,AddressDriverModule,0.8.19,0,6/12/2023
sepolia,0xd7f351fdb989b75b97c4e451d490a81a72b6eb43,CallerModule,0.8.19,0,6/12/2023
sepolia,0x4959e2c69ae4bcb93ca0694a88cb218f960b80ca,DripsModule,0.8.19,0,6/12/2023
mainnet,0x93fec2c00bfe902f733b57c5a6ceed7cd1384ae1,CREATE3Factory,0.8.17+commit.8df45f5f,272,10/06/2022
mainnet,0x9fbb3df7c40da2e5a0de984ffe2ccb7c47cd0abf,CREATE3Factory,0.8.16+commit.07a7930e,154,10/03/2022
mainnet,0x82c5e536fe1f115a8f90c0049cc41246459ad0b0,AaveV2ERC4626Factory,0.8.16+commit.07a7930e,2,10/05/2022
mainnet,0x65b3db8baef0215a1f9b14c506d2a3078b2c84ae,Create3Deployer,0.8.19+commit.7dd6d404,24,5/16/2023
goerli,0xd7a96c80ef97eda106aad53802b07b86beefaa71,Create3Factory,0.8.3+commit.8d00100c,28,1/07/2023
goerli,0x9fbb3df7c40da2e5a0de984ffe2ccb7c47cd0abf,CREATE3Factory,0.8.16+commit.07a7930e,489,10/03/2022
goerli,0xd2d77de33da28fadf80499dfe91452e771ff1db5,Deployer,0.8.16+commit.07a7930e,15,12/16/2022
goerli,0xe61e86735c044d76086310b2f3a6b917b984d5eb,CREATE3Factory,0.8.17+commit.8df45f5f,7,2/16/2023
goerli,0x45c559cf9a665cfb8ceb5e2f98968040a1cdd3ef,Deployer,0.8.10+commit.fc410830,2,8/15/2022
goerli,0xe21f6b2a09bb27149e1afec31d05675bcf581fed,CREATE3Factory,0.8.16+commit.07a7930e,4,2/15/2023
goerli,0xf4dc493967ad3495c65024f695ec50b96a2647ce,NuggFatherV1,0.8.14+commit.80d49f37,1,6/20/2022
