Network,Address,Name,Solidity Version,Txcount,Create Date
mainnet,0x7253d6eec351ed72796286be75edff4aa070ed50,FixedAPRStakingFactory,0.8.16,2,12/15/2022
mainnet,0x61622417f3c3a7f6b29784ec1a5297bae6eeafc4,DefiEdgeTwapStrategyDeployer,0.7.6,1,10/26/2022
mainnet,0xeeff8227ed1600e59787d9767485ba905f2f07c3,DefiEdgeTwapStrategyFactory,0.7.6,16,11/14/2022
mainnet,0x2072d16c15978a7050a93b62a315e1caa13c6c27,TaskManager,v0.4.23,159,5/08/2018
mainnet,0xd70c07759c86212d1558796d7c15480c00524b2a,MonarchyController,v0.4.23,10,5/08/2018
mainnet,0xdf08fb2056e0dde21dc623807853811b44c11ac8,Treasury,v0.4.23,11,5/08/2018
mainnet,0xa647502f1bc77e43cb62936fadde705529d2772d,DefiEdgeStrategyDeployer,0.7.6,1,11/01/2022
mainnet,0x6d3543d4b11683847697f5b9a3a9d116cf13dedd,VideoPoker,v0.4.23,662,5/08/2018
mainnet,0xa631c80f5f4739565d8793cab6fd08812ce3337d,DefiEdgeStrategyFactory,0.7.6,39,11/04/2022
mainnet,0xfe1b613f17f984e27239b0b2dccfb1778888dfae,InstaDice,v0.4.23,145,5/11/2018
mainnet,0xf47853220bf59c682ccbd28e7cff4d4e603a4ca6,PaymentStreamFactory,0.8.9,3,10/27/2021
mainnet,0x0833624a59e827203965bc1eb866eee1b2d2e49b,ERC721WRegistry,0.8.4,4,7/01/2022
mainnet,0x237887b20aa0da30d0ce2c5c0428976c0db57fb9,BuilderShop,0.8.6,434,7/28/2021
mainnet,0xb0dc51536e2b4950d7d6667748a6be6fc53c3318,Indelible,0.8.14,350,1/23/2023
mainnet,0xf18056bbd320e96a48e3fbf8bc061322531aac99,Vyper_contract,vyper:0.3.1,439,1/15/2022
mainnet,0xda1d2141154d33cb3b1ce9c87002b07bd24908e9,Indelible,0.8.14,1634,12/14/2022
mainnet,0xcce158dd5384b599fc29fe34d83b11ea8fb7a816,Indelible,0.8.14,889,1/22/2023
