network,factory address,metamorphic contract address,capable of metamorphosis,undergone metamorphosis
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0xF33E9d202d2387C908B87f93979bc6CF2987662c,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x4736B02DB015DCD1A57a69c889D073b100000000,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0xA2567700005ee6c889f1006500b4D5B75b008eD9,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x9B67C5350962D772e9d724573d8B50c7293e5572,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x99505fa247b4400d411414176732c76587a40c13,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x00003fc35E6700306FF200fbE9Af00460000006b,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x7F3c000e8a000000003e8d379d6A41439C000000,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x0067e100782C3A297100c75315003E236A17Ba00,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x0000001e1df968455C1400b50052B8FcAe00c200,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x0000000052caC15abA27CF8BDDC21e91c3322B19,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x000e00C000d00070ee00b53e8cB4fdE4ad910053,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x1ad91b33cc1b93276c9ca8c385237f37562b9709,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x000000146741612ba673d5c70000c65e6bf9e100,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x00002274880075A62C0fBA031FA2008942000074,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x98177A0000030000f1C7130065E308e78A160000,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x00000000004b4D70736E9Df0E7507A31e731aC06,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x000000FE3b00Ccb1007645A20E00B771910900dC,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x00000000006004dfb6aB427a47994F2a6A4F6334,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x000000A7003aE2006e7b24322Fe0BfD5F06A6e5E,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0xcd50065765131f2d7950bb39855c6cc08a5b65a7,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0xDC27FAb4bCB1B1F8841A62A81129F0B4618B576a,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x680000eE003c89000037A4008704a0Ba4497c100,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0xD26eE612000000E811D70000A1EBbE388Fa4B59A,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x3293d43cf57CDD7F78E8B193E6628939400b321d,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x000000000027F695a107e38Ac255608AA5Ad28cb,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x000000000Dc840D0283E62E17aEebF1e21Cf3450,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x0000000000b92ac90d898eBa87fa5f2483f32234,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x00000000008a9fcA7d9FB713045D07e2D070D0FA,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0xecC17dF8B26cE614188D249380B8933BEFAD68A6,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x0000000000b27d538a67f42569314466001600bf,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x663505c552dc2c3b488938b5af2a4e9d7712b572,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0xC4003Be95654Ae0B8d31b1BcA292dd003B7B0000,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x2514B5c3C1C5dbf3247BD19c5f05497349658C30,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x5BdC08ce8CAd6ec39ABf044847C9738cB0Da4B1d,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x34F62519d0326dc18c14Eee4702A23Da382bAf3A,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x00000000000747D525E898424E8774F7Eb317d00,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x0000000000bb00D4f9acE884C5709eDfcf587E1C,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x0000000000a1C1acCD070e0003838859FE4F7046,0,1
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x000000004B5aD44F70781462233d177D32d993f1,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x0000008682fA8c3Aa14b11894e90e3dCbbFf715B,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x0000000000fda34a0905ef6e6777aa9c88420349,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x00000000008c9782FF4EB38e9293eE3DFA75FA9e,1,0
mainnet,0x00000000e82eb0431756271F0d00CFB143685e7B,0x0000000000e4Cc48a5427CA0b9eD03b5bc501C97,0,1
goerli,0x49915025476878249ef5ff386501ee4c851e4db0,0xfe54ad0da5a52261d8699ca1480b3dc18723fc85,1,0
goerli,0x49915025476878249ef5ff386501ee4c851e4db0,0x57308eb5c9dbc282bc118c48e611b89769b62d66,1,0
goerli,0x8DCde8cC5d1F93eCAa1DD4c76FD5b6c7737673Bb,0x3e0a2f7ef8fd47409d3b1a597ef519367c7abed0,1,0
goerli,0xc082547d716c0d00cb5121204de3ab119d3af378,0xbabafaf052f0af41065007f0aa72e107e4490bfe,1,0
sepolia,0x1f38ae51f2287a88ea42e67d4eab52dd023a917c,0x91fdb3c6c007853e124f7c27925afa94de3d820e,1,0
